cover,elev,tci,streamdist,disturb,beers
6,1017,4.82752705,42.43,CORPLOG,0.24661149
6,834.8,5.75439501,10,CORPLOG,1.60255289
1,973.4,5.45339489,142.1,CORPLOG,0.4985916
1,1063,6.0072298,60,CORPLOG,1.72396672
6,1551,5.76492786,360.6,CORPLOG,0.05591101
1,1502,4.5799408,375.4,CORPLOG,0.28308967
1,1027,4.94206715,256.3,CORPLOG,1.30331194
6,675.7,5.40663099,84.85,SETTLE,0.04508607
5,955.5,4.37540388,58.31,VIRGIN,1.19820857
6,1482,6.4509058,60.83,CORPLOG,0.10309329
5,1365,4.45513821,240.4,LT-SEL,0.92457604
6,1285,5.25707102,197.2,LT-SEL,1.25214386
6,500.4,6.98623323,98.49,SETTLE,1.98559523
7,628.2,5.58941603,20,CORPLOG,1.982849
7,1509,5.8223362,626.3,VIRGIN,0.0636429
6,1047,4.25630522,202.5,LT-SEL,0.84465969
1,651.6,4.41726112,170,SETTLE,0.44079173
1,696.7,5.15074778,178.9,SETTLE,0.32549918
1,634.2,6.2772212,341.8,SETTLE,0.01847941
4,837.5,8.50003433,0,LT-SEL,0.33468109
7,1409,4.07326698,240.4,CORPLOG,0.70675302
6,686.7,4.4099679,36.06,SETTLE,1.7051053
6,1404,6.86415911,368.8,CORPLOG,1.35280645
4,389.4,4.83746576,206.2,LT-SEL,0.62067944
4,375.8,3.22985697,116.6,LT-SEL,1.97270501
3,632.1,5.08814096,165.5,SETTLE,0.21298036
8,893.3,5.07187319,447.2,VIRGIN,0.03951745
2,989.2,5.29238605,186.8,VIRGIN,1.7939775
5,1328,4.49903917,,LT-SEL,1.93542635
7,1384,6.22253084,189.7,VIRGIN,1.29859018
4,596.8,25,22.36,SETTLE,0.59867263
2,457.5,5.35845184,277.8,CORPLOG,1.76932335
2,1317,6.85952902,340.1,LT-SEL,1.76574755
1,1410,6.04432487,310.6,LT-SEL,1.97233117
2,1015,5.6513648,377,LT-SEL,1.95271218
8,1051,6.98951197,367.7,VIRGIN,1.84160626
2,1338,5.37122917,353.8,VIRGIN,1.99989367
7,1176,5.66973686,250,LT-SEL,1.13292134
6,1067,5.37263489,377.4,VIRGIN,0.86190045
6,791.4,5.20167923,158.1,LT-SEL,1.53286242
2,768.7,5.03861618,41.23,LT-SEL,1.05862534
2,828.9,4.77252579,180.3,VIRGIN,0.38256145
5,885.6,5.9630332,247,VIRGIN,0.1500562
5,879.5,5.9129591,325.3,VIRGIN,1.99690104
8,760.3,4.44317198,214.7,LT-SEL,1.91494739
6,824.4,4.93527794,268.3,LT-SEL,1.99971688
7,732,5.14127302,114,LT-SEL,0.21150754
6,716.2,5.72402906,85.44,LT-SEL,0.22148336
2,921.1,10.64,36.06,LT-SEL,1.30161154
7,1164,5.35513592,322,LT-SEL,1.15807784
6,877.2,4.17201519,76.16,SETTLE,0.10079743
2,1279,4.63039398,10,LT-SEL,1.55018473
2,869.1,6.01650381,400.5,CORPLOG,1.33280563
8,746.2,3.34025192,141.4,CORPLOG,0.56759202
1,1341,6.82645702,230.9,CORPLOG,0.61220247
5,1327,4.67902899,148.7,CORPLOG,1.77732527
4,1401,3.72033095,261.7,CORPLOG,0.87426198
6,1015,7.2793231,10,CORPLOG,1.74708641
2,1218,6.22200108,322,CORPLOG,0.85756344
2,1213,4.18668318,335.4,CORPLOG,1.99994481
6,866.8,4.58699608,223.6,CORPLOG,1.96057272
3,870.8,11.76,36.06,CORPLOG,1.95062649
6,1229,4.56738806,518.7,CORPLOG,1.99998355
3,805.8,5.8314662,350,LT-SEL,1.72286224
3,805.8,5.8314662,350,LT-SEL,1.72286224
5,892.9,5.68822098,30,LT-SEL,1.16020334
5,855.4,6.82961988,164.9,LT-SEL,0.41322583
3,767.1,5.01883984,330.2,LT-SEL,0.62745482
4,1388,4.046278,343.7,CORPLOG,1.7975601
5,1428,5.56561089,107.7,VIRGIN,0.57186705
3,1281,4.18237019,60.83,CORPLOG,0.49950776
4,1460,5.02210617,358.5,VIRGIN,0.46850893
4,1268,4.32509422,218.4,CORPLOG,0.13333434
3,1557,5.80845594,465.2,LT-SEL,0.00009975
3,1307,4.50789404,243.5,CORPLOG,0.39189553
4,720.3,4.08203411,98.99,LT-SEL,1.32238007
5,725.9,6.59966707,136,CORPLOG,0.00787043
6,859.1,4.89706898,130,CORPLOG,0.28759128
7,932.6,4.16547394,334.2,LT-SEL,0.31273425
6,670.9,4.81561184,63.25,SETTLE,0.25890195
5,741,4.35483885,327.6,LT-SEL,0.09755319
7,665.5,4.77475882,194.2,SETTLE,1.9732815
4,728,3.507025,98.49,SETTLE,1.44477355
3,885.7,6.54796314,50,CORPLOG,1.57556069
7,639.7,4.60362005,219.3,CORPLOG,0.43321049
7,607.9,4.88558483,176.9,CORPLOG,0.69500518
4,884,13.27,10,CORPLOG,0.01004305
6,559.9,6.21907806,56.57,SETTLE,0.1355439
6,596,6.70702505,36.06,SETTLE,1.75447106
8,636,4.69217587,40,SETTLE,0.4367761
6,683.5,3.98786211,107.7,SETTLE,1.06676805
8,1459,6.11849308,327.6,LT-SEL,0.0326013
9,1417,4.43502712,417.7,VIRGIN,0.58852965
8,1393,3.949471,537.1,VIRGIN,1.96377468
9,1378,4.09776306,482.7,VIRGIN,0.89618677
8,1246,5.84751987,90.55,LT-SEL,0.35587126
8,1280,4.34382105,224.7,CORPLOG,0.11706996
7,1578,5.59797478,434.2,VIRGIN,0.26608121
8,1504,6.38938713,544.9,LT-SEL,0.04845113
6,641.5,7.43696022,31.62,SETTLE,1.8347168
4,678.9,7.06037712,50,SETTLE,0.57363808
4,685,6.75654221,20,SETTLE,1.0171293
7,727.7,4.90957689,50,SETTLE,1.39025867
8,1085,12.77,22.36,CORPLOG,0.0171356
8,1049,8.04314041,20,CORPLOG,0.37871677
6,1030,7.45590305,31.62,CORPLOG,0.04601113
2,999.2,8.64093113,14.14,CORPLOG,0.26804623
8,743.3,7.8506732,53.85,SETTLE,1.83959341
4,794.4,8.83848763,20,SETTLE,0.96674949
6,813.5,4.94565392,56.57,SETTLE,1.23482418
7,803.1,5.93446589,14.14,SETTLE,1.09419429
7,838.7,4.44005394,0,SETTLE,0.87740606
8,990.7,5.89945698,67.08,SETTLE,1.60862637
7,960.8,7.44308996,22.36,SETTLE,0.46822155
8,941.6,4.6236968,90,SETTLE,1.2499944
7,907.8,5.60139608,41.23,SETTLE,0.5621475
8,884.4,7.06824207,98.49,SETTLE,0.35371491
4,670.6,25,92.2,SETTLE,1.49149537
5,947.2,5.95981312,131.5,VIRGIN,0.25928655
4,494.2,12.26,0,LT-SEL,1.49660313
4,645.2,8.72260094,85.44,SETTLE,0.94426298
4,677,4.49968719,287.9,LT-SEL,1.98295093
6,859,5.11756897,102,LT-SEL,0.11043619
4,869,3.96050692,100,CORPLOG,0.4183189
4,1032,4.85315895,183.8,CORPLOG,1.97692657
6,1340,6.41765499,490.1,CORPLOG,0.90383738
4,717.7,6.16744995,107.7,CORPLOG,0.07341928
5,732.3,4.30205011,22.36,LT-SEL,1.48643851
4,1190,4.8611598,103,VIRGIN,1.08014762
4,1183,4.84606981,60,VIRGIN,0.94372642
4,1313,5.34805107,169.7,VIRGIN,1.18142962
5,1217,6.42335892,30,CORPLOG,1.33937502
4,1292,5.22598886,152.3,VIRGIN,1.25728369
4,1328,3.49296904,534.5,LT-SEL,1.73625684
6,830.2,4.43833685,20,SETTLE,1.44655585
4,1192,7.23307896,10,VIRGIN,0.04236537
2,970.7,6.1395359,50.99,VIRGIN,1.89808238
6,919.5,6.20673513,50,SETTLE,1.07908046
2,908.9,6.57194281,94.34,LT-SEL,1.9892292
7,1054,5.7054162,165.5,LT-SEL,1.80152321
6,920.4,4.13903999,142.1,SETTLE,1.14454198
2,1145,5.12563515,152.3,VIRGIN,0.26586017
2,1234,5.29963684,281.6,VIRGIN,0.99495459
7,917.7,4.81174707,136,VIRGIN,1.04708278
7,1121,5.36382103,281.6,LT-SEL,1.03253949
6,1134,5.10715389,64.03,VIRGIN,1.64530134
1,1019,5.61283112,476.3,VIRGIN,1.99964607
